adjective
adjective color
adjective describing people
adverb
animal
conjunction / interjection
*** day of the week
food
full sentence
full sentence answer
full sentence question
noun
noun grammary
noun space
noun body parts
noun clothes
noun object in a room
noun occupations
noun relationship
noun time
noun transport
number
preposition
question phrase
verb
verb + tener
